price	sqft	bathrooms	bedrooms	type	region	address	city
1049000	965	2	2	Apt/Condo	Mount Pleasant East	302-111 E 1st Avenue	Vancouver
1225000	722	1	1	Apt/Condo	Downtown West	2606-788 Hamilton Street	Vancouver
395000	585	1	1	Apt/Condo	Hastings	202-2215 Dundas Street	Vancouver
5488000	2137	3	2	Apt/Condo	False Creek	1102-181 Athletes Way	Vancouver
798000	810	1	2	Apt/Condo	Kitsilano	307-2680 Arbutus Street	Vancouver
3999000	3319	4	4	House	Kerrisdale	2676 W 45th Avenue	Vancouver
1749900	1702	3	4	Townhouse	Marpole	451 W 63rd Avenue	Vancouver
608000	654	1	0	Apt/Condo	Downtown West	214-1238 Seymour Street	Vancouver
925000	893	2	2	Apt/Condo	University (Ubc)	516-6033 Gray Avenue	Vancouver
1100000	1504	2	4	House	Knight	1346 E 15th Avenue	Vancouver
3998000	3571	4	6	House	Kitsilano	3057 W 2nd Avenue	Vancouver
3190000	2400	3	2	House	Kerrisdale	3151 W 45th Avenue	Vancouver
699000	570	1	1	Apt/Condo	Downtown West	1201-68 Smithe Street	Vancouver
1099000	1015	2	2	Apt/Condo	Coal Harbour	2605-1166 Melville Street	Vancouver
2280000	1553	3	3	Apt/Condo	South Granville	1003-7228 Adera Street	Vancouver
3099000	2047	3	3	Townhouse	South Granville	7158 Adera Street	Vancouver
998000	1039	3	2	Apt/Condo	Victoria East	502-2220 Kingsway	Vancouver
4680000	4391	7	6	House	Kitsilano	2555 W 15th Avenue	Vancouver
1750000	2709	3	8	House	Fraserview East	8215 Elliott Street	Vancouver
849000	932	2	2	Apt/Condo	Downtown West	2002-188 Keefer Place	Vancouver
409888	573	1	1	Apt/Condo	Hastings	305-2045 Franklin Street	Vancouver
925000	806	1	2	Townhouse	Fairview	1779 W 16 Avenue	Vancouver
2799000	3844	6	6	House	Killarney	6575 Brooks Street	Vancouver
5500000	3565	4	3	House	Kerrisdale	3030 W 45th Avenue	Vancouver
2499000	1505	2	2	Apt/Condo	West End	1904-1835 Morton Avenue	Vancouver
735000	904	1	2	Apt/Condo	Mount Pleasant East	106-330 E 7th Avenue	Vancouver
1380000	1886	2	7	House	Colngwood	4987 Hoy Street	Vancouver
499000	680	1	2	Apt/Condo	Mount Pleasant East	6-636 E 8th Avenue	Vancouver
749000	941	2	2	Apt/Condo	Southlands	312-5723 Collingwood Street	Vancouver
1399900	2057	4	4	Duplex	Grandview East	1348 E 7th Avenue	Vancouver
1768000	1450	3	3	Duplex	Mount Pleasant West	425 W 16th Avenue	Vancouver
4380000	2600	2	4	House	Marpole	380 W 62nd Avenue	Vancouver
430000	594	1	1	Apt/Condo	Colngwood	311-4989 Duchess Street	Vancouver
1899000	2646	3	6	House	Mount Pleasant East	2733 Fraser Street	Vancouver
635000	759	1	2	Apt/Condo	Grandview East	208-1516 E 1st Avenue	Vancouver
1798000	1804	4	3	Townhouse	Cambie	1-511 W 30th Avenue	Vancouver
799000	961	2	2	Apt/Condo	Mount Pleasant West	210-345 W 10th Avenue	Vancouver
2098000	2535	3	6	House	Point Grey	3894 W 10th Avenue	Vancouver
2565000	3001	3	5	House	Mackenzie Heights	3006 W 28th Avenue	Vancouver
2400000	3120	3	4	House	Renfrew	574 Nanaimo Street	Vancouver
2990000	2643	3	5	House	Renfrew	2411 Turner Street	Vancouver
409000	689	1	1	Apt/Condo	Victoria East	304-2299 E. 30th Avenue	Vancouver
3680000	2863	7	5	House	Dunbar	3541 W 23rd Avenue	Vancouver
875000	1007	2	2	Apt/Condo	Kitsilano	328-2680 W 4th Avenue	Vancouver
359000	568	1	1	Apt/Condo	Hastings	101-2215 Dundas Street	Vancouver
920000	1067	1	2	Apt/Condo	Kitsilano	307-2665 W Broadway	Vancouver
1495000	1585	2	3	House	Grandview East	2106 E 5th Avenue	Vancouver
3688000	3727	5	4	House	Quilchena	2439 Eddington Drive	Vancouver
689000	891	1	1	Apt/Condo	West End	207-1465 Comox Street	Vancouver
1998000	2555	3	3	Townhouse	Kitsilano	101-1707 Yew Street	Vancouver
1330000	2066	2	3	House	Renfrew Heights	3168 E 18th Avenue	Vancouver
748000	675	1	1	Apt/Condo	Yaletown	713-1088 Richards Street	Vancouver
699000	992	1	2	Apt/Condo	Downtown East	301-168 Powell Street	Vancouver
554000	691	1	1	Apt/Condo	West End	202-1042 Nelson Street	Vancouver
1399900	1177	2	2	Apt/Condo	Mount Pleasant East	PH501-379 E Broadway	Vancouver
1048000	1060	2	2	Townhouse	Fairview	536 W 7th Avenue	Vancouver
2988800	4809	7	10	House	Victoria East	2277 E 28th Avenue	Vancouver
584000	663	1	1	Apt/Condo	Kitsilano	6-1870 Yew Street	Vancouver
7680000	5174	6	4	House	Shaughnessy	4810 Osler Street	Vancouver
639800	624	1	1	Apt/Condo	False Creek	401-495 W 6th Avenue	Vancouver
1099900	1089	2	3	Apt/Condo	Fairview	804-2851 Heather Street	Vancouver
489000	1175	2	3	Townhouse	Champlain Heights	3452 Copeland Avenue	Vancouver
558000	754	1	1	Apt/Condo	Victoria East	58-2239 Kingsway	Vancouver
699000	558	1	1	Apt/Condo	Kitsilano	302-2033 W 10th Avenue	Vancouver
1848000	2149	4	7	House	Fraser East	448 E 45th Avenue	Vancouver
2399800	1629	2	2	Apt/Condo	West End	500-1410 Bute Street	Vancouver
1250000	1075	2	2	Apt/Condo	South Cambie	305-6633 Cambie Street	Vancouver
1198000	1240	2	2	Apt/Condo	Yaletown	1502-1177 Pacific Boulevard	Vancouver
3380000	3191	4	4	House	Southlands	3521 W 43rd Avenue	Vancouver
668000	507	1	1	Apt/Condo	Downtown West	1108-822 Seymour Street	Vancouver
1499000	2686	3	5	House	Renfrew	2707 E Georgia Street	Vancouver
716000	757	1	1	Apt/Condo	Mount Pleasant West	311-128 W 6th Avenue	Vancouver
1450000	1353	3	2	Apt/Condo	South Granville	608-7228 Adera Street	Vancouver
779000	702	1	1	Apt/Condo	Yaletown	1203-193 Aquarius Mews	Vancouver
1998000	2630	6	6	House	South Vancouver	1012 E 58th Avenue	Vancouver
699999	715	1	1	Apt/Condo	Main	311-3333 Main Street	Vancouver
1550000	2070	5	7	House	South Vancouver	7480 Main Street	Vancouver
848000	750	2	2	Apt/Condo	West End	1511-1331 Alberni Street	Vancouver
3788000	2939	4	4	House	Arbutus	3775 Carnarvon Street	Vancouver
878900	849	1	1	Apt/Condo	Yaletown	1006-1238 Richards Street	Vancouver
4599000	4460	5	5	House	Dunbar	4492 Crown Street	Vancouver
3185000	4581	5	4	House	Arbutus	2336 W 20th Avenue	Vancouver
2918000	2961	5	6	House	Main	4468 Ontario Street	Vancouver
3880000	3482	3	5	House	Shaughnessy	3690 East Boulevard	Vancouver
415000	463	1	0	Apt/Condo	Hastings	103-138 Templeton Drive	Vancouver
929000	720	1	1	Apt/Condo	Yaletown	3106-1408 Strathmore Mews	Vancouver
1550000	1282	3	2	Townhouse	Kitsilano	1545 Trafalgar Street	Vancouver
6500000	0	0	0	House	Point Grey	4632 Bellevue Drive	Vancouver
3990000	3959	5	6	House	Kerrisdale	2332 W 47th Avenue	Vancouver
599000	846	1	1	Apt/Condo	Kerrisdale	202-3088 W 41 Avenue	Vancouver
1650000	1736	3	3	Townhouse	Marpole	1-274 W 62nd Avenue	Vancouver
5500000	3000	2	4	House	Oakridge	458 W 44th Avenue	Vancouver
3588000	1928	3	2	Apt/Condo	Downtown West	SPH3504-838 W Hastings Street	Vancouver
1175000	1735	2	3	House	Colngwood	5232 Hoy Street	Vancouver
449900	600	1	1	Apt/Condo	Kitsilano	211-1990 W 6th Avenue	Vancouver
498000	668	1	1	Apt/Condo	Colngwood	1510-3663 Crowley Drive	Vancouver
899900	1190	2	2	Apt/Condo	University (Ubc)	434-5735 Hampton Place	Vancouver
1439000	1345	2	3	Duplex	Kitsilano	2084 Trutch Street	Vancouver
1498000	1288	2	2	Apt/Condo	Yaletown	1903-989 Beatty Street	Vancouver
1870000	1073	2	2	Apt/Condo	Point Grey	211-3639 16 Avenue	Vancouver
